nama_stasiun,wmoid,tanggal,suhu_minimum,suhu_maksimum,suhu_rata,lembab_rata,curah_hujan,lama_penyinaran,angin_rata,arah_angin_terbanyak,angin_terbesar,arah_angin_maksimal
Stasiun Klimatologi Palembang,96223,01/01/2013,23.8,33.2,27.6,84,8888,6,4,NW,4,315
Stasiun Meteorologi Depati Amir,96237,01/01/2013,24.5,31.9,26.8,88,7,5,5,NW,5,45
Stasiun Meteorologi Sultan Mahmud Badaruddin II,96221,01/01/2013,22.8,33,26.9,85,72,6.6,11,NW,11,270
Stasiun Klimatologi Pesawaran,96291,01/01/2013,23,32,26.3,86,33.2,1.4,3,W ,3,270
Stasiun Meteorologi Fatmawati Soekarno,96253,01/01/2013,21.8,31,26.8,81,8888,2.4,16,NW,16,284
Stasiun Geofisika Tanjung Pandan,96247,01/01/2013,23.6,32.6,28.1,85,30,3,9999,9999,9999,9999
Stasiun Meteorologi H. Asan Hananjoedin,96249,01/01/2013,23,30.6,26.8,87,11,0,7,W ,7,240
Stasiun Klimatologi Tangerang Selatan,96733,01/01/2013,25,32,26.6,88,8888,3,3,W ,3,290
Stasiun Meteorologi Susilo,96559,01/01/2013,22.7,32.4,27.1,86,27.4,2.8,3,W ,3,270
Stasiun Meteorologi Minangkabau,96163,01/01/2013,22.7,30.4,25.4,87,17,9999,8,N ,8,230
Stasiun Meteorologi Paloh,96535,01/01/2013,24,30.8,26.9,88,0.2,4.3,3,NW,3,300
Stasiun Meteorologi Soekarno Hatta,96749,01/01/2013,24,31.2,26.3,90,47.4,0.2,12,W ,12,230
Stasiun Klimatologi Mempawah,96583,01/01/2013,24.2,31.2,27,84,22.9,1.9,4,SW,4,270
Stasiun Meteorologi Ahmad Yani,96839,01/01/2013,25.2,31,27.6,82,0.5,5.5,5,E ,5,350
Stasiun Meteorologi Jatiwangi,96791,01/01/2013,24.2,32,26.5,88,9.9,0.8,3,N ,3,360
Stasiun Meteorologi Cilacap,96805,01/01/2013,24.5,31.8,26.8,87,7.9,2.7,6,SW,6,320
Stasiun Meteorologi Maritim Tanjung Priok,96741,01/01/2013,25.6,31.4,27.1,84,12.3,0.3,6,W ,6,320
